id,observed_on_string,observed_on,quality_grade,license,latitude,longitude,positional_accuracy,scientific_name,common_name
8036461,9/21/2017,9/21/2017,casual,CC-BY-NC,34.448071,-91.32146,54,Danaus plexippus,Monarch
8044412,Fri Sep 22 2017 07:37:49 GMT-0500 (CDT),9/22/2017,research,CC-BY-NC,36.07926667,-94.16348333,,Danaus plexippus,Monarch
8044422,Mon Sep 18 2017 09:07:17 GMT-0500 (CDT),9/18/2017,research,CC-BY-NC,36.079225,-94.16349717,,Danaus plexippus,Monarch
8044457,Thu Sep 21 2017 16:34:13 GMT-0500 (CDT),9/21/2017,research,CC-BY-NC,36.079125,-94.16332217,,Danaus plexippus,Monarch
8087359,9/23/2017,9/23/2017,casual,CC-BY-NC,35.303306,-94.336638,,Danaus plexippus,Monarch
8087395,9/24/2017,9/24/2017,casual,CC-BY-NC,36.342378,-92.382548,,Danaus plexippus,Monarch
8090931,9/22/2017,9/22/2017,casual,CC-BY-NC,33.199541,-91.169121,111,Danaus plexippus,Monarch
8091168,9/19/2017,9/19/2017,casual,CC-BY-NC,34.600207,-91.564071,109,Danaus plexippus,Monarch
8091254,9/19/2017,9/19/2017,casual,CC-BY-NC,35.676842,-91.76616,107,Danaus plexippus,Monarch
8091889,9/22/2017,9/22/2017,casual,CC-BY-NC,35.680629,-91.972089,215,Danaus plexippus,Monarch
8121570,2017/09/12 4:16 AM CDT,9/12/2017,research,CC-BY-NC,35.5154007,-93.3256099,2934,Danaus plexippus,Monarch
8136504,Wed Sep 27 2017 08:49:06 GMT-0500 (CDT),9/27/2017,research,CC-BY-NC,36.206955,-93.1213,,Danaus plexippus,Monarch
8171296,9/28/2017,9/28/2017,casual,CC-BY-NC,34.766938,-90.908633,194,Danaus plexippus,Monarch
8213191,10/1/2017,10/1/2017,research,CC-BY-NC,35.286775,-93.204811,6,Danaus plexippus,Monarch
8224112,10/1/2017,10/1/2017,research,CC-BY-NC,35.083602,-92.206664,,Danaus plexippus,Monarch
8234495,10/2/2017,10/2/2017,casual,CC-BY-NC,34.961987,-92.378758,27,Danaus plexippus,Monarch
8245244,August - September ,,casual,CC-BY-NC,38.022131,-93.493652,54943,Danaus plexippus,Monarch
8251774,10/3/2017,10/3/2017,casual,CC-BY-NC,34.751992,-92.282073,,Danaus plexippus,Monarch
8252354,10/4/2017,10/4/2017,casual,CC-BY-NC,34.751992,-92.282073,,Danaus plexippus,Monarch
8281027,10/4/2017,10/4/2017,casual,CC-BY-NC,34.961564,-92.378991,54,Danaus plexippus,Monarch
8281054,10/5/2017,10/5/2017,casual,CC-BY-NC,35.035349,-92.23212,54,Danaus plexippus,Monarch
8281065,10/5/2017,10/5/2017,casual,CC-BY-NC,36.152711,-94.108835,192,Danaus plexippus,Monarch
8285897,Sun Sep 03 2017 16:02:49 GMT-0500 (CDT),9/3/2017,research,CC-BY-NC,35.157161,-92.050989,56383,Danaus plexippus,Monarch
8310560,10/7/2017,10/7/2017,casual,CC-BY-NC-SA,36.097091,-94.133673,,Danaus plexippus,Monarch
8317155,2017-10-08 today at 11:01 a.m.,,casual,CC-BY-NC,36.049099,-94.361572,56383,Danaus plexippus,Monarch
8318254,Sun Oct 08 2017 16:44:18 GMT-0500 (CDT),10/8/2017,research,CC-BY-NC-SA,36.06164989,-94.16935933,22,Danaus plexippus,Monarch
8319672,2017-10-07 at 3:00 pm,10/7/2017,research,CC-BY-NC,36.136513,-94.119354,,Danaus plexippus,Monarch
8322756,2017/10/06 1:48 PM CDT,10/6/2017,research,CC-BY-NC,35.3349543,-94.2971119,193,Danaus plexippus,Monarch
8325124,10/6/2017,10/6/2017,research,CC-BY-NC,36.225665,-92.906012,,Danaus plexippus,Monarch
8325135,10/6/2017,10/6/2017,research,CC-BY-NC,35.82,-89.9308,,Danaus plexippus,Monarch
8325360,2017/10/08 11:50 AM CDT,10/8/2017,casual,CC-BY-NC,36.43668256,-92.65937805,637,Danaus plexippus,Monarch
8328977,Mon Oct 09 2017 13:04:38 GMT-0500 (CDT),10/9/2017,research,CC-BY-NC-SA,36.073542,-94.16061379,22,Danaus plexippus,Monarch
8329301,Mon Oct 09 2017 13:36:07 GMT-0500 (CDT),10/9/2017,research,CC-BY-NC-SA,36.07360464,-94.1639871,26,Danaus plexippus,Monarch
8339761,10/9/2017,10/9/2017,casual,CC-BY-NC,36.334833,-94.168925,13785,Danaus plexippus,Monarch
8357245,10/9/2017,10/9/2017,casual,CC-BY-NC,33.995777,-93.858245,13,Danaus plexippus,Monarch
8358017,9/25/2017,9/25/2017,casual,CC-BY-NC,35.349169,-94.320551,193,Danaus plexippus,Monarch
8358696,Sun Oct 01 2017 10:28:29 GMT-0500 (CDT),10/1/2017,research,CC-BY-NC,35.77901537,-94.25340707,22,Danaus plexippus,Monarch
8362351,10/11/2017,10/11/2017,casual,CC-BY-NC,36.246762,-90.96204,,Danaus plexippus,Monarch
8362477,10/11/2017 14:34,10/11/2017,casual,CC-BY-NC,36.4121307,-90.62444508,66,Danaus plexippus,Monarch
8364460,10/11/2017,10/11/2017,casual,CC-BY-NC,34.549037,-92.231255,56383,Danaus plexippus,Monarch
8366986,10/9/2017 15:00,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366987,10/9/2017 15:00,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366988,10/9/2017 14:59,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366989,10/9/2017 14:51,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366991,10/9/2017 14:49,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366992,10/9/2017 14:45,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366993,10/9/2017 14:24,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366994,10/9/2017 14:15,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366995,10/9/2017 14:13,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366996,10/9/2017 13:30,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366997,10/9/2017 13:30,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8366999,10/9/2017 13:29,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8367001,10/9/2017 13:26,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8367002,10/9/2017 13:23,10/9/2017,research,CC-BY-NC,35.509243,-93.322463,132,Danaus plexippus,Monarch
8372546,10/12/2017,10/12/2017,casual,CC-BY-NC,35.767267,-90.704455,,Danaus plexippus,Monarch
8372777,10/8/2017,10/8/2017,casual,CC-BY-NC,36.284524,-92.52767,,Danaus plexippus,Monarch
8374040,10/12/2017,10/12/2017,casual,CC-BY-NC,36.469127,-93.837951,53,Danaus plexippus,Monarch
