"dataset_id","row_id","latitude","longitude","sp_code","scientific","common","tsn","count","series_id","obs_date","date_time","last_mod","provider","owner","oceano","depth","ds_type"
705,"705_3030",-21.98,-3.99,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-04-19","2008-04-19 12:15:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0400,""CHL_Y"":0.0600,""SSH_D"":39.75,""SST_D"":23.325,""SST_M"":23.325,""SST_Y"":21.600,""BATH"":-4866,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3016",-70.7,-38.33,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-04-12","2008-04-12 14:34:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-2.850,""BATH"":-4096,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3412",-14.51,-1.62,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-04-28","2008-04-28 00:04:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.1000,""CHL_M"":0.0600,""CHL_Y"":0.1500,""SSH_D"":37.20,""SST_D"":24.150,""SST_M"":-9999,""SST_Y"":23.325,""BATH"":-5493,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3400",-46.1,11.14,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-04-21","2008-04-21 23:14:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.5600,""SSH_D"":3.56,""SST_D"":-9999,""SST_M"":8.700,""SST_Y"":7.350,""BATH"":-4651,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3395",-62.2,-11.49,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-04-19","2008-04-19 12:45:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-145.68,""SST_D"":-9999,""SST_M"":-1.200,""SST_Y"":-0.225,""BATH"":-5179,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3375",-70.17,-40.89,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-04-09","2008-04-09 14:45:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-9999,""BATH"":-3899,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3322",-69.47,-32.77,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-02-19","2008-02-19 02:25:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-134.82,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-1.650,""BATH"":-4449,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3315",-70.17,-24.21,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-02-15","2008-02-15 13:51:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-129.56,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-1.275,""BATH"":-4427,""EEZ"":213,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3305",-69.09,-25.19,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-02-10","2008-02-10 13:55:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-139.99,""SST_D"":-9999,""SST_M"":-1.350,""SST_Y"":-1.575,""BATH"":-4702,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3291",-62.43,-39.27,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-12-04","2007-12-04 02:27:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.3600,""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":-1.575,""SST_Y"":-1.200,""BATH"":-4069,""EEZ"":213,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3286",-56.87,-39.01,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-12-01","2007-12-01 14:25:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.3300,""SSH_D"":-100.41,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":0.825,""BATH"":-2786,""EEZ"":89,""WDPA"":NULL,""LME"":NULL,""MEOW"":20220",,"pttag"
705,"705_3284",-58.93,-30.36,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-11-30","2007-11-30 13:50:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.0700,""SSH_D"":-127.37,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":0.300,""BATH"":-2882,""EEZ"":89,""WDPA"":NULL,""LME"":NULL,""MEOW"":20219",,"pttag"
