"geom","oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","csquare","geom_wkt"
0103000020E61000000100000005000000000000000000284000000000008043C00000000000002A4000000000008043C00000000000002A4000000000000044C0000000000000284000000000000044C0000000000000284000000000008043C0,69963,13,-39,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-10","2007-11-10",1,1,1,"3301:392","POLYGON((12 -39,13 -39,13 -40,12 -40,12 -39))"
0103000020E61000000100000005000000000000000000284000000000000042C00000000000002A4000000000000042C00000000000002A4000000000008042C0000000000000284000000000008042C0000000000000284000000000000042C0,69886,13,-36,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-04","2007-11-22",6,1,1,"3301:362","POLYGON((12 -36,13 -36,13 -37,12 -37,12 -36))"
0103000020E61000000100000005000000000000000000284000000000008041C00000000000002A4000000000008041C00000000000002A4000000000000042C0000000000000284000000000000042C0000000000000284000000000008041C0,69861,12,-35,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-25","2007-10-25",1,1,1,"3301:352","POLYGON((12 -35,13 -35,13 -36,12 -36,12 -35))"
0103000020E61000000100000005000000000000000000284000000000008040C00000000000002A4000000000008040C00000000000002A4000000000000041C0000000000000284000000000000041C0000000000000284000000000008040C0,61547,13,-34,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-04-30","2008-04-30",1,1,1,"3301:132","POLYGON((12 -33,13 -33,13 -34,12 -34,12 -33))"
0103000020E61000000100000005000000000000000000284000000000000040C00000000000002A4000000000000040C00000000000002A4000000000008040C0000000000000284000000000008040C0000000000000284000000000000040C0,61524,12,-32,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-04-24","2008-04-24",1,1,1,"3301:122","POLYGON((12 -32,13 -32,13 -33,12 -33,12 -32))"
0103000020E6100000010000000500000000000000000028400000000000003EC00000000000002A400000000000003EC00000000000002A400000000000003FC000000000000028400000000000003FC000000000000028400000000000003EC0,61463,13,-30,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-24","2008-04-18",2,1,1,"3301:102","POLYGON((12 -30,13 -30,13 -31,12 -31,12 -30))"
0103000020E61000000100000005000000000000000000284000000000000039C00000000000002A4000000000000039C00000000000002A400000000000003AC000000000000028400000000000003AC0000000000000284000000000000039C0,54707,12,-25,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-10","2007-10-10",1,1,1,"3201:352","POLYGON((12 -25,13 -25,13 -26,12 -26,12 -25))"
0103000020E61000000100000005000000000000000000284000000000000038C00000000000002A4000000000000038C00000000000002A4000000000000039C0000000000000284000000000000039C0000000000000284000000000000038C0,54696,13,-25,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-10","2007-10-22",2,2,1,"3201:142","POLYGON((12 -24,13 -24,13 -25,12 -25,12 -24))"
0103000020E61000000100000005000000000000000000284000000000000037C00000000000002A4000000000000037C00000000000002A4000000000000038C0000000000000284000000000000038C0000000000000284000000000000037C0,54676,13,-23,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-06","2008-04-25",4,3,1,"3201:132","POLYGON((12 -23,13 -23,13 -24,12 -24,12 -23))"
0103000020E61000000100000005000000000000000000284000000000000036C00000000000002A4000000000000036C00000000000002A4000000000000037C0000000000000284000000000000037C0000000000000284000000000000036C0,54586,13,-22,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-06","2007-10-26",2,1,1,"3201:122","POLYGON((12 -22,13 -22,13 -23,12 -23,12 -22))"
